WARNING: 2 open meshes merged
     Merged: Canard
     Merged: WingGeom
...Mass Properties...
101 Num Comps
101 Total Num Meshes
46784 Total Num Tris

7.071729363383923e+02             Total Mass
9.976099591865617e+00 6.096654543928714e-04 1.360138528800977e+00       Center of Gravity
2.575143095200070e+04 3.501818510897282e+04 5.727190790174054e+04       Ixx, Iyy, Izz
-1.812060190385435e+01 2.119755715946730e+03 2.621258395652244e+01       Ixy, Ixz, Iyz
7.071729363383923e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Canard	7.794018191286516e+00	-3.708548115672619e-01	3.220159182909177e-15	9.490572308455670e-18	2.511775286135431e+02	5.301766672970855e+00	2.563837015156250e+02	7.863616059556491e-02	6.398719920718503e-04	-2.662520536816367e-02	7.794018191286516e+00
Fuselage	5.249558808519502e+02	9.089425203815662e+00	3.287257533806224e-07	1.142709332316642e+00	2.334694951640950e+03	2.240672079558329e+04	2.252578874675992e+04	-1.222644013834425e+01	1.446317709460172e+03	2.663935590239101e+01	5.249558808519502e+02
Canard Winglet	2.295756864417229e-01	-3.708548115672617e-01	1.021961067020328e+01	3.197495649987697e-01	1.652386349696972e-02	1.624324835006554e-01	1.636066238441924e-01	-2.790705283437260e-04	-1.134663714504654e-04	6.932815041667276e-03	2.295756864417229e-01
Canard Winglet	2.295756864417231e-01	-3.708548115672616e-01	-1.021961067020328e+01	3.197495649987694e-01	1.651847446185596e-02	1.623882863178146e-01	1.636454319919196e-01	-6.369164765712982e-04	-8.911230992706825e-06	-6.879203211234306e-03	2.295756864417231e-01
Main Winglet	1.557718191182966e+00	1.568991695226880e+01	2.529393343096515e+01	3.608771082855108e+00	1.428785426575615e+00	2.694587310494454e+00	1.502802865853033e+00	6.078653303660345e-02	2.421110058160557e-01	3.469742236728157e-01	1.557718191182966e+00
Main Winglet	1.557718191182965e+00	1.568991695226879e+01	-2.529393343096515e+01	3.608771082855110e+00	1.428126116427468e+00	2.691530050135426e+00	1.505200816063916e+00	-6.958281249844027e-02	2.433383365210454e-01	-3.515329986828443e-01	1.557718191182965e+00
LG front	6.119048134843079e-01	-2.169658198738523e+00	5.000000000000011e-01	-3.065137912245946e+00	8.017360334881048e-02	4.800584879328690e-01	4.250886589682686e-01	-4.422433660589235e-03	5.510141406173648e-04	-3.018898530457779e-04	6.119048134843079e-01
LG rear	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
LG rear	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
front wheel	7.375399797229546e-01	-2.169658198738521e+00	1.698359839096572e-01	-4.435374149659865e+00	1.191236861492001e-01	5.962365260912061e-01	5.172427480111526e-01	-7.732051747283406e-03	-1.514527527708617e-03	-3.502348039711058e-03	7.375399797229546e-01
rear wheel	7.053770147342122e-01	1.401957228580280e+01	5.833691275275942e+00	-4.340136054421769e+00	9.250705360953186e-02	5.472779362385197e-01	4.962224133251497e-01	-6.022139454198014e-03	-2.958850255078249e-04	-4.090486393189696e-04	7.053770147342122e-01
rear wheel	7.053770147342117e-01	1.401957228580281e+01	-5.833691275275950e+00	-4.340136054421772e+00	9.243259529173699e-02	5.465583222291961e-01	4.968675690166786e-01	-6.632803015374230e-03	2.450689968756027e-04	1.248668108189751e-03	7.053770147342117e-01
Cabin	4.124417159837405e+01	4.020752810062178e+00	1.481841953813306e-15	3.494527218467103e+00	8.859170182352584e+01	2.025369956440381e+02	2.536933016743928e+02	-1.876211575162379e-01	3.024864646841590e+01	1.360170047100644e+00	4.124417159837405e+01
wing pods IB	2.315394685815615e+00	1.247871669102914e+01	1.333333333333334e+01	1.333333333333335e+00	2.196028675682227e-01	6.586571335791799e+00	6.632640805342004e+00	-1.530347713257202e-02	2.018160809889784e-03	-2.185903917054448e-03	2.315394685815615e+00
wing pods IB	2.315394685815617e+00	1.247871669102914e+01	-1.333333333333334e+01	1.333333333333334e+00	2.150177261175530e-01	6.587810678258134e+00	6.626816321425005e+00	1.104124511959672e-02	-1.402268216479455e-06	1.411573848103182e-03	2.315394685815617e+00
wing pods IMB	2.153510330854759e+00	1.338611229961310e+01	1.666666666666666e+01	1.620000000000000e+00	3.287217911965765e-01	4.965977615210630e+00	5.121664520317774e+00	-1.409217014696234e-02	-1.390686415391804e-03	8.307151947427076e-03	2.153510330854759e+00
wing pods IMB	2.153510330854758e+00	1.338611229961312e+01	-1.666666666666668e+01	1.620000000000001e+00	3.256284378501677e-01	4.967339231980630e+00	5.117209550201375e+00	-1.655642171462699e-02	1.278744196098253e-03	2.652897701596017e-03	2.153510330854758e+00
wing pods MB	2.280275603634440e+00	1.370810947778200e+01	2.000000000000003e+01	1.900000000000002e+00	3.128753443975932e-01	5.540813553970006e+00	5.669274517441174e+00	-2.648357583941648e-02	8.698546478856314e-05	1.026092214318010e-02	2.280275603634440e+00
wing pods MB	2.280275603634440e+00	1.370810947778200e+01	-2.000000000000001e+01	1.900000000000001e+00	3.150798668789569e-01	5.541118991057775e+00	5.671173602834765e+00	1.087154257202838e-02	-2.741211086694588e-03	7.720865270640882e-03	2.280275603634440e+00
wing pods OB	2.315323325198410e+00	1.427886935193734e+01	2.333333333333331e+01	2.186666666666664e+00	2.944073616023558e-01	6.586347275017332e+00	6.709304859730273e+00	-2.794637828049046e-02	7.097859588956715e-05	-9.274163018372826e-04	2.315323325198410e+00
wing pods OB	2.315323325198409e+00	1.427886935193734e+01	-2.333333333333331e+01	2.186666666666667e+00	3.232052896752869e-01	6.586663862406133e+00	6.737786200414402e+00	-2.055374001676817e-03	-1.797028767889136e-03	1.895990313875936e-02	2.315323325198409e+00
wing pods IIB	2.270762964853457e+00	1.187376194921153e+01	1.000000000000001e+01	1.040000000000000e+00	3.129839426142400e-01	5.450416573384761e+00	5.576723449424614e+00	-3.184000261331160e-02	-9.790373571482562e-04	5.075538902522737e-03	2.270762964853457e+00
wing pods IIB	2.270762964853459e+00	1.187376194921152e+01	-9.999999999999995e+00	1.039999999999999e+00	3.490995095372931e-01	5.451874257922027e+00	5.611381331810398e+00	-1.156248130764356e-02	-5.165594058530081e-03	1.127125742387185e-02	2.270762964853459e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Prop IIB	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
