               Alpha                 CLtot                 CDind              Elevator
--------------------  --------------------  --------------------  --------------------
            -5.00000              -0.07978             0.0014301               4.12190
            -4.00000              -0.00177             0.0009728               3.17611
            -3.00000               0.07639             0.0011384               2.25507
            -2.00000               0.15465             0.0019301               1.35799
            -1.00000               0.23293             0.0033489               0.48412
             0.00000               0.31120             0.0053942              -0.36720
             1.00000               0.38939             0.0080634              -1.19660
             2.00000               0.46744             0.0113521              -2.00464
             3.00000               0.54531             0.0152538              -2.79183
             4.00000               0.62292             0.0197604              -3.55863
             5.00000               0.70023             0.0248619              -4.30547
