# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
16

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Canard,0,FXPTRHLMCG,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
6.666666666666669627e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
6.156447926708082941e-01, 0.000000000000000000e+00, -7.088571716816555006e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
5.422934286730384246e-01, 0.000000000000000000e+00, -1.703683575675416992e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
4.390084519130821317e-01, 0.000000000000000000e+00, -3.057350101215507848e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
2.977544604449983145e-01, 0.000000000000000000e+00, -4.823005634518149481e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
1.120914242458618815e-01, 0.000000000000000000e+00, -6.997659470669309600e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
-1.196147483350046975e-01, 0.000000000000000000e+00, -9.474047755506152801e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
-3.907882526807121004e-01, 0.000000000000000000e+00, -1.200378756041888123e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
-6.852997168029573150e-01, 0.000000000000000000e+00, -1.420102369712505364e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
-9.802776201379286292e-01, 0.000000000000000000e+00, -1.563203921936292817e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
-1.252590724747018047e+00, 0.000000000000000000e+00, -1.598077541898965115e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
-1.485454894022594452e+00, 0.000000000000000000e+00, -1.518351831274301900e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
-1.671514117366307506e+00, 0.000000000000000000e+00, -1.341501234395234832e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
-1.811648830168821167e+00, 0.000000000000000000e+00, -1.094032631026447683e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
-1.911314221121307888e+00, 0.000000000000000000e+00, -7.943383862292055508e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
-1.975718755059412191e+00, 0.000000000000000000e+00, -4.357592628082615493e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
-2.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
-1.975718755059411968e+00, 0.000000000000000000e+00, 4.357592628082630065e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
-1.911314221121306778e+00, 0.000000000000000000e+00, 7.943383862292105468e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
-1.811648830168819391e+00, 0.000000000000000000e+00, 1.094032631026452818e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
-1.671514117366305285e+00, 0.000000000000000000e+00, 1.341501234395237052e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
-1.485454894022591565e+00, 0.000000000000000000e+00, 1.518351831274304120e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
-1.252590724747015383e+00, 0.000000000000000000e+00, 1.598077541898964837e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
-9.802776201379264087e-01, 0.000000000000000000e+00, 1.563203921936291985e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
-6.852997168029557606e-01, 0.000000000000000000e+00, 1.420102369712503976e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
-3.907882526807103796e-01, 0.000000000000000000e+00, 1.200378756041887152e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
-1.196147483350029073e-01, 0.000000000000000000e+00, 9.474047755506134760e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
1.120914242458636856e-01, 0.000000000000000000e+00, 6.997659470669286008e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
2.977544604449994248e-01, 0.000000000000000000e+00, 4.823005634518134910e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
4.390084519130685869e-01, 0.000000000000000000e+00, 3.057350101215574115e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
5.422934286730098918e-01, 0.000000000000000000e+00, 1.703683575675553341e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
6.156447926707863116e-01, 0.000000000000000000e+00, 7.088571716817666096e-03, 1.000000000000000000e+00, 3.958266880232111262e+00
6.666666666666669627e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
6.666666666666669627e-01, 1.999999999999999556e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
6.156668130952391849e-01, 1.999999999999999556e+00, -6.849761777461498176e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
5.423490811845493864e-01, 1.999999999999999556e+00, -1.646273989636513543e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
4.391152009527852229e-01, 1.999999999999999556e+00, -2.954295380295136192e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
2.979376230073770282e-01, 1.999999999999999556e+00, -4.660382630424521333e-02, 1.199999999999999956e+00, 2.765358755368439447e-01
1.123855771795151254e-01, 1.999999999999999556e+00, -6.761642092243629054e-02, 1.199999999999999956e+00, 4.134663504172014781e-01
-1.191661192673161840e-01, 1.999999999999999556e+00, -9.154499060439275082e-02, 1.199999999999999956e+00, 5.841612375912467181e-01
-3.901366804006555777e-01, 1.999999999999999556e+00, -1.159904540018706909e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
-6.843998218850694260e-01, 1.999999999999999556e+00, -1.372291360683513817e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
-9.791005220116043573e-01, 1.999999999999999556e+00, -1.510777986126990990e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
-1.251140659638759978e+00, 1.999999999999999556e+00, -1.544910305250571103e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
