front wheel_MDVGMOUUKD_0.dat
-2.8299319744110107 -4.4353742599487305
-3.001814126968384 -4.280825138092041
-3.2582995891571045 -4.065673351287842
-3.528843641281128 -3.8444623947143555
-3.7429025173187256 -3.6717369556427
-3.8299319744110107 -3.6020407676696777
-3.812598705291748 -3.6020407676696777
-3.7712652683258057 -3.6020407676696777
-3.7219319343566895 -3.6020407676696777
-3.680598735809326 -3.6020407676696777
-3.6632652282714844 -3.6020407676696777
-3.59074068069458 -3.674565315246582
-3.412358283996582 -3.85294771194458
-3.1869049072265625 -4.0784010887146
-2.9731671810150146 -4.292139053344727
-2.8299319744110107 -4.4353742599487305
-2.9731671810150146 -4.578609466552734
-3.1869049072265625 -4.792346954345703
-3.412358283996582 -5.017800331115723
-3.59074068069458 -5.196182727813721
-3.6632652282714844 -5.268707275390625
-3.680598735809326 -5.268707275390625
-3.7219319343566895 -5.268707275390625
-3.7712652683258057 -5.268707275390625
-3.812598705291748 -5.268707275390625
-3.8299319744110107 -5.268707275390625
-3.7429025173187256 -5.199011325836182
-3.528843641281128 -5.026285648345947
-3.2582995891571045 -4.805075168609619
-3.001814126968384 -4.589922904968262
-2.8299319744110107 -4.4353742599487305
